group,crop,holos_crop_name,condition,moisture,R_p,R_s,R_r,R_e,N_p,N_s,N_r,N_e
Small-grain cereals,Small_grain_cereals,Small grain cereals,Rainfed,12,0.32,0.511,0.102,0.067,23.9,6,10,10
Small-grain cereals,Wheat,Wheat,<200,12,0.219,0.551,0.136,0.095,27.9,8.6,13.4,13.4
Small-grain cereals,Wheat,Wheat,200-350,12,0.244,0.518,0.147,0.091,26.3,8.2,10.4,10.4
Small-grain cereals,Wheat,Wheat,>350,12,0.431,0.488,0.049,0.032,56.2,6.5,11.9,11.9
Small-grain cereals,Barley,Barley,<350,12,0.451,0.4,0.09,0.059,19,7,10,10
Small-grain cereals,Barley,Barley,350-750,12,0.432,0.445,0.074,0.048,23.9,7.3,9.7,9.7
Small-grain cereals,Barley,Barley,>750,12,0.424,0.498,0.047,0.031,19,3.8,9.5,9.5
Small-grain cereals,Undersown_barley,Undersown Barley,Canada,12,0.411,0.241,0.211,0.137,19,7,10,10
Small-grain cereals,Oats,Oats,Canada,12,0.319,0.283,0.241,0.157,18,6,10,10
Small-grain cereals,Triticale,Triticale,Canada,12,0.26,0.506,0.142,0.092,22,6,10,10
Small-grain cereals,Sorghum,Sorghum,Canada,12,0.219,0.656,0.075,0.05,25,6,10,10
Small-grain cereals,Canary_seed,Canary seed,Canada,8,0.21,0.511,0.212,0.067,25,7,10,10
Small-grain cereals,Buckwheat,Buckwheat,Canada,12,0.32,0.511,0.102,0.067,18,6,10,10
Small-grain cereals,Mixed_grains,Mixed grains,Canada,12,0.32,0.511,0.102,0.067,22.3,6.3,10,10
Small-grain cereals,Grain_corn,Grain corn,Canada,15,0.386,0.387,0.138,0.089,15,5,7,7
Silage,Corn_silage,Corn Silage,Canada,70,0.866,0,0.081,0.053,13,13,7,7
Silage,Barley_silage,Barley Silage,<350,63,0.851,0,0.09,0.059,12.7,0,10,10
Silage,Barley_silage,Barley Silage,350-750,63,0.877,0,0.074,0.048,12.1,0,9.7,9.7
Silage,Barley_silage,Barley Silage,>750,63,0.922,0,0.047,0.031,29.7,0,9.5,9.5
Silage,Oat_silage,Oat Silage,Canada,62,0.602,0,0.241,0.157,8.1,0,10,10
Silage,Triticale_silage,Triticale Silage,Canada,60,0.766,0,0.142,0.092,14.5,0,10,10
Silage,Wheat_silage,Wheat Silage,<200,57,0.77,0,0.136,0.095,14.1,0,13.4,13.4
Silage,Wheat_silage,Wheat Silage,200-350,57,0.762,0,0.147,0.091,14,0,10.4,10.4
Silage,Wheat_silage,Wheat Silage,>350,57,0.919,0,0.049,0.032,29.8,0,11.9,11.9
Silage,Grass_silage,Grass Silage,Canada,57,0.441,0,0.339,0.22,16,16,10,10
Oilseeds,Oilseeds,Oilseeds,Rainfed,9,0.184,0.637,0.109,0.071,61.5,7,10,10
Oilseeds,Oilseeds,Oilseeds,Irrigated,9,0.213,0.619,0.101,0.066,61.5,7,10,10
Oilseeds,Camelina,Camelina,Canada,9,0.12,0.34,0.34,0.2,54.1,4.6,15.35,15.35
Oilseeds,Canola,Canola,<200,9,0.133,0.533,0.208,0.126,63.6,13.6,8.3,8.3
Oilseeds,Canola,Canola,200-350,9,0.176,0.529,0.183,0.111,62.1,9.9,13.4,13.4
Oilseeds,Canola,Canola,>350,9,0.203,0.561,0.144,0.093,42,7.1,10.8,10.8
Oilseeds,Mustard,Mustard,<200,9,0.176,0.557,0.166,0.102,68.6,13.6,10.3,10.3
Oilseeds,Mustard,Mustard,>200,9,0.21,0.54,0.155,0.095,63.9,9.4,10.4,10.4
Oilseeds,Flax,Flax,<200,8,0.189,0.634,0.123,0.054,56.7,11.8,6,6
Oilseeds,Flax,Flax,>200,8,0.199,0.63,0.105,0.066,76,9.7,9.2,9.2
Pulse crops,Pulse_crops,Pulse crops,Rainfed,13,0.29,0.515,0.118,0.077,59.1,20.4,15.8,15.8
Pulse crops,Pulse_crops,Pulse crops,Irrigated,13,0.343,0.527,0.079,0.051,59.1,20.4,15.8,15.8
Pulse crops,Soybean,Soybean,Canada,14,0.304,0.455,0.146,0.095,67,6,10,10
Pulse crops,Beans_dry_field,Beans (dry field),Canada,13,0.539,0.412,0.03,0.019,42,10,10,10
Pulse crops,Chickpea,Chickpea,<200,13,0.28,0.42,0.187,0.113,65.9,23.9,11,11
Pulse crops,Chickpea,Chickpea,>200,13,0.358,0.42,0.137,0.085,56.7,23.4,18.9,18.9
Pulse crops,Dry_pea,Dry Pea,<200,13,0.245,0.49,0.162,0.103,70.4,30.4,22.5,22.5
Pulse crops,Dry_pea,Dry Pea,>200,13,0.263,0.533,0.126,0.078,69.4,31.6,28.2,28.2
Pulse crops,Lentil,Lentil,<200,13,0.231,0.448,0.2,0.121,64.1,23.4,15,15
Pulse crops,Lentil,Lentil,>200,13,0.311,0.458,0.142,0.09,61.3,25.8,16.2,16.2
Root crops,Potato,Potato,Canada,75,0.736,0.239,0.015,0.01,15,20,10,10
Root crops,Potato,Potato,AB,80,0.771,0.155,0.045,0.029,15,20,10,10
Root crops,Sugar_beets,Sugar Beets,Canada,80,0.626,0.357,0.01,0.007,10,29,10,10
Other field crops,Safflower,Safflower,Canada,2,,,,,24,10,10,10
Other field crops,Sunflower_seed,Sunflower seed,Canada,2,,,,,24,10,10,10
Other field crops,Tobacco,Tobacco,Canada,13,,,,,20,10,10,10
Other field crops,Vegetables,Vegetables,Canada,80,,,,,20,20,10,10
Other field crops,Berries_grapes,Berries & grapes,Canada,85,,,,,7,20,10,10
Other field crops,Other_field_crops,Other field crops,Canada,10,,,,,33.25,9.75,10,10
Cover crops,Winter_weeds,Winter weeds,Canada,65,0.982,,0.011,0.007,23.9,6,10,10
Cover crops,Red_clover,Red clover (Trifolium pratense L.),Canada,65,0.732,,0.162,0.106,23.4,,10,10
Cover crops,Berseem_clover,Berseem clover (Trifolium alexandrium L.),Canada,65,0.722,,0.168,0.109,32.6,,52.6,52.6
Cover crops,Sweet_clover,Sweet clover (Melilotus officinalis),Canada,65,,,,,22,,,
Cover crops,Crimson_clover,Crimson clover (Trifolium incarnatum),Canada,65,0.761,,0.145,0.094,43.8,,30.5,30.5
Cover crops,Hairy_vetch,Hairy Vetch (Vicia villosa roth),Canada,65,0.668,,0.201,0.131,34.4,,14,14
Cover crops,Alfalfa ,Alfalfa (Medicago sativa L.),Canada,65,0.744,,0.155,0.101,61,,83.4,83.4
Cover crops,Faba_bean,Faba bean/broad bean (Vicia faba),Canada,65,,,,,19.7,,,
Cover crops,Cowpea,Cowpea (Vigna unguiculata),Canada,65,0.516,,0.294,0.191,23.9,,20.8,20.8
Cover crops,Austrian_winter_pea,Austrian winter pea,Canada,65,0.498,,0.304,0.198,23.5,,12.5,12.5
Cover crops,Rapeseed,Rapeseed (Brassica Napus L.),Canada,65,0.661,,0.206,0.134,14.7,,6,6
Cover crops,Winter_turnip_rape ,"Winter turnip rape [Brassica Rapa spp. oleifera L. (cv. ""Largo"")]",Canada,65,0.692,,0.197,0.111,22,,22,22
Cover crops,Phacelia ,Phacelia [Phacelia tanacetifolia (cv. 'Phaci')],Canada,65,,,,,22.2,,,
Cover crops,Forage_radish,Forage radish (Raphanus sativus L.),Canada,65,0.532,,0.284,0.185,29.2,,19.7,19.7
Cover crops,Mustard ,Mustard (Sinapus alba L. subsp. Mairei (H. Lindb.) Maire),Canada,65,0.842,,0.096,0.062,15,,20,20
Cover crops,Barley ,Barley (Hordeum vulgare),Canada,65,0.885,,0.07,0.045,11.3,,13.2,13.2
Cover crops,Oat,Oat (Avena sativa),Canada,65,0.737,,0.16,0.104,24.3,,15.7,15.7
Cover crops,Rye_winter_cereal,Rye (Secale cereale) / Winter rye / Cereal rye,Canada,65,0.577,,0.266,0.157,12.4,,5.5,5.5
Cover crops,Sesame ,Sesame (Sesamum indicum),Canada,65,,,,,,12.2,,
Cover crops,Flax,Flax (Linum usitatissimum),Canada,65,0.906,,0.057,0.037,12.6,,10.2,10.2
Cover crops,Ryegrass ,Ryegrass (Lolium Perenne L.),Canada,65,0.532,,0.284,0.184,12.4,,7.6,7.6
Cover crops,Annual_ryegrass,Annual Ryegrass (Lolium multiflorum),Canada,65,0.493,,0.307,0.2,10.2,,5.2,5.2
Cover crops,Sorghum,Sorghum (Sorghum bicolour),Canada,65,0.863,,0.083,0.054,,,,
Cover crops,Pigeon_Bean,Pigeon Bean,Canada,65,0.921,,0.048,0.031,27.8,,15,15
Cover crops,Shepherd's_purse,Shepherd's purse,Canada,65,0.352,,0.393,0.255,16.3,,9.4,9.4
Cover crops,Winter_wheat,Winter wheat (Triticum aestivum),Canada,12,0.451,0.34,0.126,0.082,22.6,6,10,10
Cover crops,Fall_rye,(Fall) Rye,Canada,12,0.32,0.511,0.102,0.067,18,6,10,10
Perennial forages,Rangeland_native,Rangeland (native),Canada,13,0.233,0,0.465,0.302,15,15,15,15
Perennial forages,Perennial_forages,Perennial forages,Canada,13,0.492,0,0.308,0.2,26,15,15,15
Perennial forages,Tame_grass,Tame grass,Canada,13,0.441,0,0.339,0.22,16,16,10,10
Perennial forages,Tame_legume,Tame legume,Canada,13,0.571,0,0.26,0.169,15,15,15,15
Perennial forages,Tame_mixed,Tame mixed,Canada,13,0.298,0,0.426,0.277,15,15,15,15
Perennial forages,Seeded_grassland,Seeded grassland,Canada,13,0.317,0,0.414,0.269,15,15,15,15
Perennial forages,Forage_for_seed,Forage for seed,Canada,13,0.1,0.392,0.308,0.2,30,15,13,13
Trees,Total_tree_fruits_nuts,Total tree fruits & nuts,Canada,84,,,,,2,10,10,10
